nombre,nivel,facultad,sede,duracion,keywords
Licenciatura en Física,grado,exactas,central,5 años,"fisica,grado,exactas,investigacion"
Profesorado en Física,grado,exactas,central,4 años,"fisica,profesorado,grado,exactas"
Licenciatura en Energías Renovables,grado,exactas,central,5 años,"energia,grado,exactas,investigacion"
Tecnicatura Electrónica Universitaria,pregrado,exactas,central,1 años y 1/2,"electronica,pregrado,tecnicatura,corta,exactas,tecnicaturas,cortas,salida,laboral,rapida,carrera,carreras"
Tecnicatura Universitaria en Energía Solar,pregrado,exactas,central,2 años y 1/2,"energia,pregrado,tecnicatura,corta,exactas,tecnicaturas,cortas,salida,laboral,rapida,carrera,carreras"
Tecnicatura Universitaria en Energía Solar – Extensión Aulica Cafayate,pregrado,exactas,cafayate,2 años y 1/2,"energia,pregrado,tecnicatura,corta,cafayate,tecnicaturas,cortas,salida,laboral,rapida,carrera,carreras"
Licenciatura en Matemática,grado,exactas,central,4 años,"matematica,grado,exactas"
Profesorado en Matemática,grado,exactas,central,4 años,"matematica,profesorado,grado,exactas"
Tecnicatura Universitaria en Estadística,pregrado,exactas,central,3 años,"estadistica,pregrado,tecnicatura,corta,exactas,tecnicaturas,cortas,salida,laboral,rapida,carrera,carreras"
Profesorado en Química,grado,exactas,central,4 años,"quimica,profesorado,grado,exactas"
Licenciatura en Química,grado,exactas,central,5 años,"quimica,grado,exactas"
Lirenciatura en Bromatología,grado,exactas,central,4 años y 1/2,"quimica,grado,exactas"
Analista Químico,pregrado,exactas,central,3 años,"quimica,pregrado,tecnicatura,corta,exactas,tecnicaturas,cortas,salida,laboral,rapida,carrera,carreras"
Licenciatura en Análisis de Sistemas,grado,exactas,central,5 años,"programacion,redes,computacion,pregrado,tecnicatura,corta,exactas"
Tecnicatura Universitaria en Programación,pregrado,exactas,central,3 años,"programacion,computacion,pregrado,tecnicatura,corta,exactas,tecnicaturas,cortas,salida,laboral,rapida,carrera,carreras"
